Title,Price,answer,brand,model_name,CPU,RAM,disk_space,GPU
"LENOVO IdeaPad 1i, inkl. 1 Jahr Microsoft 365 Single, Notebook, mit 15,6 Zoll Display, Intel® Celeron®,N4120 Prozessor, 4 GB RAM, 128 GB eMMC, Intel® UHD 600, Cloud Grey, Windows 11 Home S-Modus (64 Bit)","299,00€","```json
[
    {
        ""brand"": ""LENOVO"",
        ""model name"": ""IdeaPad 1i"",
        ""CPU"": ""Intel® Celeron®,N4120"",
        ""RAM"": 4,
        ""disk space"": ""128 GB eMMC"",
        ""GPU"": ""Intel® UHD 600""
    }
]
```",LENOVO,IdeaPad 1i,"Intel® Celeron®,N4120",4,128 GB eMMC,Intel® UHD 600
"HP 17-cp2334ng, Notebook, mit 17,3 Zoll Display, AMD Ryzen™ 3,7320U Prozessor, 8 GB RAM, 512 GB SSD, AMD Radeon™ Onboard Graphics, Natural Silver, Windows 11 Home (64 Bit)","549,00€","```json
[
    {
        ""brand"": ""HP"",
        ""model name"": ""17-cp2334ng"",
        ""CPU"": ""AMD Ryzen™ 3,7320U"",
        ""RAM"": 8,
        ""disk space"": ""512 GB"",
        ""GPU"": ""AMD Radeon™ Onboard Graphics""
    }
]
```",HP,17-cp2334ng,"AMD Ryzen™ 3,7320U",8,512 GB,AMD Radeon™ Onboard Graphics
"LENOVO IdeaPad Slim 3, Chromebook, mit 14 Zoll Display, MediaTek Kompanio,520 Prozessor, 4 GB RAM, 64 GB eMMC, ARM Mali-G52, Cloud Grey, Google Chrome OS","299,00€","```json
[
    {
        ""brand"": ""LENOVO"",
        ""model name"": ""IdeaPad Slim 3 Chromebook"",
        ""CPU"": ""MediaTek Kompanio 520"",
        ""RAM"": 4,
        ""disk space"": ""64 GB eMMC"",
        ""GPU"": ""ARM Mali-G52""
    }
]
```",LENOVO,IdeaPad Slim 3 Chromebook,MediaTek Kompanio 520,4,64 GB eMMC,ARM Mali-G52
"ASUS Chromebook CX1 CX1500CKA-EJ0160, Chromebook, mit 15,6 Zoll Display, Intel® Celeron®,N4500 Prozessor, 4 GB RAM, 128 GB eMMC, Intel® UHD Graphics, Silber, Google Chrome OS","399,00€","```json
[
    {
        ""brand"": ""ASUS"",
        ""model name"": ""Chromebook CX1 CX1500CKA-EJ0160"",
        ""CPU"": ""Intel® Celeron®,N4500"",
        ""RAM"": 4,
        ""disk space"": ""128 GB eMMC"",
        ""GPU"": ""Intel® UHD Graphics""
    }
]
```",ASUS,Chromebook CX1 CX1500CKA-EJ0160,"Intel® Celeron®,N4500",4,128 GB eMMC,Intel® UHD Graphics
"SAMSUNG Galaxy Book4, Notebook, mit 15,6 Zoll Display, Intel® Core™ 3,100U Prozessor, 8 GB RAM, 256 GB SSD, Intel® Core™ Onboard Graphics, Gray, Windows 11 Home (64 Bit)","799,00€","```json
[
    {
        ""brand"": ""SAMSUNG"",
        ""model name"": ""Galaxy Book4"",
        ""CPU"": ""Intel® Core™ 3,100U"",
        ""RAM"": 8,
        ""disk space"": ""256 GB"",
        ""GPU"": ""Intel® Core™ Onboard Graphics""
    }
]
```",SAMSUNG,Galaxy Book4,"Intel® Core™ 3,100U",8,256 GB,Intel® Core™ Onboard Graphics
"HP 15-fc0376ng, Notebook, mit 15,6 Zoll Display, AMD Ryzen™ 7,7730U Prozessor, 16 GB RAM, 512 GB SSD, AMD Radeon™ Onboard Graphics, Silber, Windows 11 Home (64 Bit)","799,00€","```json
[
    {
        ""brand"": ""HP"",
        ""model name"": ""15-fc0376ng"",
        ""CPU"": ""AMD Ryzen™ 7 7730U"",
        ""RAM"": 16,
        ""disk space"": ""512 GB"",
        ""GPU"": ""AMD Radeon™ Onboard Graphics""
    }
]
```",HP,15-fc0376ng,AMD Ryzen™ 7 7730U,16,512 GB,AMD Radeon™ Onboard Graphics
"ACER Swift Go (SFG14-71-51JU) mit OLED-Display, Notebook, mit 14 Zoll Display, Intel® Evo™ Plattform, Intel® Core™ i5,i5-1335U (Evo) Prozessor, 16 GB RAM, 512 GB SSD, Intel® Iris® Xe, Pure Silver, Windows 11 Home (64 Bit)","819,00€","```json
[
    {
        ""brand"": ""ACER"",
        ""model name"": ""Swift Go (SFG14-71-51JU)"",
        ""CPU"": ""Intel® Core™ i5,i5-1335U (Evo)"",
        ""RAM"": 16,
        ""disk space"": ""512 GB"",
        ""GPU"": ""Intel® Iris® Xe""
    }
]
```",ACER,Swift Go (SFG14-71-51JU),"Intel® Core™ i5,i5-1335U (Evo)",16,512 GB,Intel® Iris® Xe
"LENOVO IdeaPad 3i, Notebook, mit 17,3 Zoll Display, Intel® Core™ i7,i7-1255U Prozessor, 16 GB RAM, 1 TB SSD, Intel® Iris® Xe, Arctic Grey, Windows 11 Home (64 Bit)","849,00€","```json
[
    {
        ""brand"": ""LENOVO"",
        ""model name"": ""IdeaPad 3i"",
        ""CPU"": ""Intel® Core™ i7,i7-1255U"",
        ""RAM"": 16,
        ""disk space"": ""1 TB SSD"",
        ""GPU"": ""Intel® Iris® Xe""
    }
]
```",LENOVO,IdeaPad 3i,"Intel® Core™ i7,i7-1255U",16,1 TB SSD,Intel® Iris® Xe
"ACER Chromebook 317 (CB317-1H-C7H8), Chromebook, mit 17,3 Zoll Display, Intel® Celeron®,N5100 Prozessor, 4 GB RAM, 128 GB eMMC, Intel® UHD Graphics, Silber, Google Chrome OS","499,00€","```json
[
    {
        ""brand"": ""ACER"",
        ""model name"": ""Chromebook 317 (CB317-1H-C7H8)"",
        ""CPU"": ""Intel® Celeron®,N5100"",
        ""RAM"": 4,
        ""disk space"": ""128 GB eMMC"",
        ""GPU"": ""Intel® UHD Graphics""
    }
]
```",ACER,Chromebook 317 (CB317-1H-C7H8),"Intel® Celeron®,N5100",4,128 GB eMMC,Intel® UHD Graphics
"ASUS Zenbook 14 OLED UM3406HA-QD099W, Notebook, mit 14 Zoll Display, AMD Ryzen™ 7,8840HS Prozessor, 16 GB RAM, 1 TB SSD, AMD Radeon™ 780M, Jade Black, Windows 11 Home (64 Bit)","1299,00€","```json
[
    {
        ""brand"": ""ASUS"",
        ""model name"": ""Zenbook 14 OLED UM3406HA-QD099W"",
        ""CPU"": ""AMD Ryzen™ 7 8840HS"",
        ""RAM"": 16,
        ""disk space"": ""1 TB"",
        ""GPU"": ""AMD Radeon™ 780M""
    }
]
```",ASUS,Zenbook 14 OLED UM3406HA-QD099W,AMD Ryzen™ 7 8840HS,16,1 TB,AMD Radeon™ 780M
