Title,Price
"LENOVO IdeaPad Slim 3, Chromebook, mit 14 Zoll Display, MediaTek Kompanio,520 Prozessor, 4 GB RAM, 64 GB eMMC, ARM Mali-G52, Cloud Grey, Google Chrome OS","299,00€"
"LENOVO IdeaPad 1i, inkl. 1 Jahr Microsoft 365 Single, Notebook, mit 15,6 Zoll Display, Intel® Celeron®,N4120 Prozessor, 4 GB RAM, 128 GB eMMC, Intel® UHD 600, Cloud Grey, Windows 11 Home S-Modus (64 Bit)","299,00€"
"HP 17-cp2334ng, Notebook, mit 17,3 Zoll Display, AMD Ryzen™ 3,7320U Prozessor, 8 GB RAM, 512 GB SSD, AMD Radeon™ Onboard Graphics, Natural Silver, Windows 11 Home (64 Bit)","549,00€"
"ASUS Chromebook CX1 CX1500CKA-EJ0160, Chromebook, mit 15,6 Zoll Display, Intel® Celeron®,N4500 Prozessor, 4 GB RAM, 128 GB eMMC, Intel® UHD Graphics, Silber, Google Chrome OS","399,00€"
"SAMSUNG Galaxy Book4, Notebook, mit 15,6 Zoll Display, Intel® Core™ 3,100U Prozessor, 8 GB RAM, 256 GB SSD, Intel® Core™ Onboard Graphics, Gray, Windows 11 Home (64 Bit)","799,00€"
"ACER Aspire 3 (A315-44P-R53H), Notebook, mit 15,6 Zoll Display, AMD Ryzen™ 7,5700U Prozessor, 16 GB RAM, 1 TB SSD, AMD Radeon™ Onboard Graphics, Pure Silver, Windows 11 Home (64 Bit)","629,00€"
"HP 15-fc0376ng, Notebook, mit 15,6 Zoll Display, AMD Ryzen™ 7,7730U Prozessor, 16 GB RAM, 512 GB SSD, AMD Radeon™ Onboard Graphics, Silber, Windows 11 Home (64 Bit)","799,00€"
"ACER Swift Go (SFG14-71-51JU) mit OLED-Display, Notebook, mit 14 Zoll Display, Intel® Evo™ Plattform, Intel® Core™ i5,i5-1335U (Evo) Prozessor, 16 GB RAM, 512 GB SSD, Intel® Iris® Xe, Pure Silver, Windows 11 Home (64 Bit)","819,00€"
"LENOVO IdeaPad 3i, Notebook, mit 17,3 Zoll Display, Intel® Core™ i7,i7-1255U Prozessor, 16 GB RAM, 1 TB SSD, Intel® Iris® Xe, Arctic Grey, Windows 11 Home (64 Bit)","849,00€"
"ASUS Vivobook Go 15 E1504FA-BQ1101W, Notebook, mit 15,6 Zoll Display, AMD Ryzen™ 3,7320U Prozessor, 8 GB RAM, 512 GB SSD, AMD Radeon™ 610M, Schwarz, Windows 11 Home (64 Bit)","469,00€"
"ACER Chromebook 317 (CB317-1H-C7H8), Chromebook, mit 17,3 Zoll Display, Intel® Celeron®,N5100 Prozessor, 4 GB RAM, 128 GB eMMC, Intel® UHD Graphics, Silber, Google Chrome OS","499,00€"
"LENOVO IdeaPad Slim 3, Notebook, mit 15,6 Zoll Display, AMD Ryzen™ 5,7520U Prozessor, 8 GB RAM, 512 GB SSD, AMD Radeon™ 610M, Arctic Grey, Windows 11 Home (64 Bit)","509,00€"
"ACER Nitro 5 (AN517-55-56G2) mit 144 Hz Display & RGB Tastaturbeleuchtung, Gaming Notebook, mit 17,3 Zoll Display, Intel® Core™ i5,i5-12450H  Prozessor, 16 GB RAM, 512 GB SSD, NVIDIA GeForce RTX™ 3050, Obsidian Black, Windows 11 Home (64 Bit)","1079,00€"
"APPLE MacBook Air (2024), MRXV3D/A, Notebook, mit 13,6 Zoll Display, M3 Prozessor, 8 GB RAM, 256 GB SSD, Mitternacht, macOS","1299,00€"
"ASUS Vivobook 16 X1605ZA-MB416W, Notebook, mit 16 Zoll Display, Intel® Pentium® Gold,8505 Prozessor, 8 GB RAM, 512 GB SSD, Intel® UHD Graphics, Silber, Windows 11 Home (64 Bit)","449,00€"
"ACER Predator Helios Neo 16, Gaming Notebook, mit 16,0 Zoll Display, Intel® Core™ i7,i7-13700HX Prozessor, 32 GB RAM, 1 TB SSD, NVIDIA GeForce RTX™ 4070, Obsidian Black, Windows 11 Home (64 Bit)","2359,00€"
"ASUS Chromebook CX1700 (CX1700CKA-BX0035), Chromebook, mit 17,3 Zoll Display, Intel® Celeron®,N4500 Prozessor, 8 GB RAM, 128 GB eMMC, Intel® UHD Graphics, Transparent Silver, Google Chrome OS","499,00€"
"ASUS TUF Gaming A15 FA506NC-HN001W, Gaming Notebook, mit 15,6 Zoll Display, AMD Ryzen™ 5,7535HS Prozessor, 16 GB RAM, 512 GB SSD, NVIDIA GeForce RTX™ 3050, Graphite Black, Windows 11 Home (64 Bit)","899,00€"
"LENOVO Yoga Pro 7i, Premium KI-Notebook, mit 14,5 Zoll Display, Intel® Evo™ Plattform, Intel® U-Series,155H Prozessor, 32 GB RAM, 1000 GB SSD GeForce RTX™ 4050, Luna Grey, Windows 11 Home (64 Bit)","1699,00€"
"ACER Nitro 5 (AN517-55-74Q3) mit 144 Hz Display & RGB Tastaturbeleuchtung, Gaming Notebook, mit 17,3 Zoll Display, Intel® Core™ i7,i7-12650H Prozessor, 16 GB RAM, 1 TB SSD, NVIDIA GeForce RTX™ 4060, Schwarz, Windows 11 Home (64 Bit)","1869,00€"
"LENOVO LOQ 15IAX9, Gaming-Notebook, mit 15,6 Zoll Display, Intel® Core™ i5,12450HX Prozessor, 16 GB RAM, 512 GB SSD, NVIDIA GeForce RTX™ 2050, Luna Grey, Windows 11 Home (64 Bit)","849,00€"
"MICROSOFT Surface Pro, Copilot+ PC, 11. Edition, OLED, Convertible, mit 13 Zoll Display, Qualcomm Snapdragon X Elite, 16 GB RAM, 512 GB SSD, Qualcomm Adreno™ Onboard Graphics, Platin, Windows 11 Home (64 Bit)","1799,00€"
"HUAWEI Matebook D14 2024, Notebook, mit 14 Zoll Display, Intel® Core™ i5,i5-12450H Prozessor, 16 GB RAM, 512 GB SSD, Intel® UHD Graphics, Space Gray, Windows 11 Home (64 Bit)","849,00€"
"ASUS VivoBook 16 M1605YA-MB638W, Notebook, mit 16 Zoll Display, AMD Ryzen™ 7,7730U Prozessor, 16 GB RAM, 1 TB SSD, AMD Radeon™ Onboard Graphics, Cool Silver, Windows 11 Home (64 Bit)","699,00€"
"MSI Thin GF63 12VE-081, Gaming Notebook, mit 15,6 Zoll Display, Intel® Core™ i5,i5-12450H Prozessor, 16 GB RAM, 512 GB SSD, NVIDIA GeForce RTX™ 4050, Schwarz, Windows 11 Home (64 Bit)","999,00€"
"ASUS ROG Strix G17 G713PV-HX058W, Gaming Notebook, mit 17,3 Zoll Display, AMD Ryzen™ 9,7845HX Prozessor, 32 GB RAM, 1 TB SSD, NVIDIA GeForce RTX™ 4060, Schwarz/Grau, Windows 11 Home (64 Bit)","1899,00€"
"LENOVO LOQ 15IRX9, Gaming Notebook, mit 15,6 Zoll Display, Intel® Core™ i5,i5-13450HX Prozessor, 16 GB RAM, 1 TB SSD GeForce RTX™ 4060, Luna Grey, Windows 11 Home (64 Bit)","1199,00€"
"ASUS Vivobook 16 X1605VA-MB183W, Notebook, mit 16 Zoll Display, Intel® Core™ i9,i9-13900H Prozessor, 16 GB RAM, 1 TB SSD, Intel® Iris® Xe, Schwarz, Windows 11 Home (64 Bit)","1099,00€"
"ACER Aspire 3 (A317-55P-384L), Notebook, mit 17,3 Zoll Display, Intel® Core™ i3,i3-N305 Prozessor, 8 GB RAM, 512 GB SSD, Intel® UHD Graphics, Steel Grey, Windows 11 Home (64 Bit)","609,00€"
"APPLE MacBook Air (2020), Notebook mit 13,3 Zoll Display, Apple M1 Prozessor, 8 GB RAM, 256 GB SSD, M1, Silber","1129,00€"
"ASUS TUF A17 FA707NU-HX052W, Gaming Notebook, mit 17,3 Zoll Display, AMD Ryzen™ 5,7535HS Prozessor, 16 GB RAM, 1 TB SSD, NVIDIA GeForce RTX™ 4050, Mecha Gray, Windows 11 Home (64 Bit)","1199,00€"
"ASUS Vivobook 16 X1605ZA-MB003W, Notebook, mit 16 Zoll Display, Intel® Core™ i5,i5-1235U Prozessor, 8 GB RAM, 512 GB SSD, Intel® Iris® Xe, Silber, Windows 11 Home (64 Bit)","699,00€"
"APPLE MacBook Air (2024), MRXW3D/A, Notebook, mit 13,6 Zoll Display, M3 Prozessor, 8 GB RAM, 512 GB SSD, Mitternacht, macOS","1529,00€"
"HP OMEN 16-xd0353ng, Gaming Notebook, mit 16,1 Zoll Display, AMD Ryzen™ 5,7640HS  Prozessor, 16 GB RAM, 512 GB SSD, NVIDIA GeForce RTX™ 4050, Schwarz, Windows 11 Home (64 Bit)","1399,00€"
"ACER Aspire 5 (A515-57G-541Z) mit Tastaturbeleuchtung, Notebook, mit 15,6 Zoll Display, Intel® Core™ i5,i5-1235U Prozessor, 8 GB RAM, 512 GB SSD, NVIDIA GeForce RTX™ 2050, Steel Gray, Windows 11 Home (64 Bit)","809,00€"
"LENOVO IdeaPad 3i, Notebook, mit 17,3 Zoll Display, Intel® Core™ i5,i5-1235U Prozessor, 16 GB RAM, 512 GB SSD, Intel® Iris® Xe, Arctic Grey, Windows 11 Home (64 Bit)","659,99€"
"ACER Aspire 5 (A515-57G-541Z) mit Tastaturbeleuchtung, Notebook, mit 15,6 Zoll Display, Intel® Core™ i5,i5-1235U Prozessor, 8 GB RAM, 512 GB SSD, NVIDIA GeForce RTX™ 2050, Steel Gray, Windows 11 Home (64 Bit)","809,00€"
"LENOVO IdeaPad 3i, Notebook, mit 17,3 Zoll Display, Intel® Core™ i5,i5-1235U Prozessor, 16 GB RAM, 512 GB SSD, Intel® Iris® Xe, Arctic Grey, Windows 11 Home (64 Bit)","659,99€"
